,NI,DEA,BP,DP,CFP,GPM,ROA,MACD,currentratio,RD,RSI,net_operating_cash_flow,Profit_G_q,asset_turnover,financial_leverage,ROE,Sales_G_q,EP,cashratio,CMV,debtequityratio,DIF,SP,return,label
600017.XSHG,-0.032665044163983414,-1.6561422504476382,-0.2604066810221283,-0.24668409942643,-0.1553552166057527,-0.31584274092682846,-0.39816695626092125,0.27285397784925225,-0.7382471717665904,-0.2580701004381506,-0.8060437790914617,0.38888325099779913,0.3427295934581602,-0.8648453516851056,-0.9043122843771468,-0.5536368648065533,-0.11368666697668486,-0.41773321437239486,-0.46851185983412047,-0.9397027363537749,0.08644928252109566,-1.2297252486805053,-0.8734910783102816,0.07563025210084051,-1
600583.XSHG,-0.39984994369097204,1.2921164357904522,-0.9970890791631486,-0.09160488966598883,-0.635002848963213,-0.9282332515251644,-0.408922141573532,1.2219560646160972,-1.0175552706467632,-0.20640791877503067,0.18126770947832346,-0.5332959702433967,-0.46120387553216635,-0.30517444168076996,0.01245652726611918,0.05499298742226359,-0.10282314107401735,-1.3901147295770557,-1.3147710435228905,0.27253486103369795,-0.6786695273602044,2.0418468436480075,-0.7641137836718013,0.0748299319727892,-1
600029.XSHG,-1.4687806458759263,-0.18428846385897937,-0.15019415085565013,-0.2454062847701582,-0.2309718869124235,-1.3913409687450615,-1.4874771946385668,0.32537472648315807,-1.4535559936271853,-0.2641566496323318,-0.5281027467090698,-0.6002348175512789,-1.8977536368606087,-0.19496178885486318,1.501497372639706,-1.6908341628356516,-0.9505959376677742,-1.6716155448509447,0.16444913751435014,-0.4013111174172448,1.9303630618135752,0.10002481979536404,1.863043199699924,0.07473309608540935,-1
600158.XSHG,1.0388731579995953,1.1962849844510874,-1.2076682014716373,-0.25551448828597706,-0.5010739461632813,0.6090412283979292,1.3869058956952887,1.0837369707711244,0.159630186968446,-0.8598140734220762,-0.2494251303541636,-2.0985971687998255,2.3514709980089608,-1.1583380024870817,-0.5234880078664013,0.7670070766688659,0.5848265924260274,-0.0682220593898152,-1.3425902287586857,-0.6584645049609098,-0.7774403666329704,1.693817418508054,-1.4025552916423387,0.07300884955752207,-1
000301.XSHE,0.10233953879724253,-0.25159591247427093,-0.6783771379525801,-0.299912571967628,-0.17415954372326417,-0.5571991710878826,-0.6551577538457586,0.8415696782183362,0.26750424138019924,-0.2152162370592588,-0.21738159236308502,-0.07349473758558668,-0.6494958351365328,-1.5239996149362125,-0.9827923601888933,-0.9874900874405478,-2.976652060471678,-1.244328529860379,-0.657672098173502,-0.5927545139632261,-0.9761187163008676,0.4635083564268446,-1.7876399146710988,0.07241379310344831,-1
000829.XSHE,-0.7165519965180963,-0.1785118560324572,-0.6634432181396448,-0.42066866393025054,1.0870106981236374,-0.8282340638956985,-0.5517932882187099,0.03602005078012179,-0.200461293546117,-0.8595120027078454,-0.3806511029240113,1.857427849756413,-0.6241397952749105,2.3602560663163543,0.3151989730799103,-0.15847612931669983,-0.5044136886991607,-0.17193026936294398,1.1684675657393637,-0.6069321325409083,-0.7471715766775535,-0.14099548729653488,1.5117466798874852,0.07228915662650603,-1
600747.XSHG,0.27189244535320045,0.05387403384069988,0.8042086420409054,0.9078682506078767,-0.545275573344162,1.0025163127394718,0.16191199297544193,-0.6795661402163564,1.1425155876841353,1.5073994225875393,1.835762663948792,-0.27549639420671934,2.8240100624045663,0.3145099118983059,1.1162740078353857,0.051622371843222874,-0.7672731572565162,0.0075572137458095,-0.04448131842209835,1.2695801168383292,-0.2804026724298385,-0.46497142245484746,0.08668108974962566,0.07191780821917804,-1
600020.XSHG,0.41981083706725036,-0.6620760560929689,0.9790454486385778,-0.24662636595827583,-1.6957657212778618,1.2489213804416088,-0.9575343730386744,0.5070144990680424,-0.6782811545409974,-0.25834509931404237,-0.7549841048721199,0.4559169936581919,-0.8223575857645508,-1.2345785039669168,0.1942877306361842,-0.7350157234139655,-0.9277893164624915,0.0025226122316525284,-1.1102189966962428,-0.7435343359418236,1.9314069529313074,-0.1788266969162166,-0.8561222924232188,0.06989247311827951,-1
600153.XSHG,-1.229759228969236,0.695593986185624,-0.0016492411827506038,-0.9869688635688104,-0.5267861471601049,-1.36379959949011,-0.44652850624959717,0.7350393455949773,-0.21392998334525207,-0.2592238905002046,0.14959017088706444,-0.05072115845336179,-0.15551214537880342,2.307218789715078,0.21886896025459546,-0.03014958052835668,-0.43399584082823395,0.40263052491764256,-2.0639472796832194,-0.3588657121993509,0.3708539091826362,1.1861823956799684,2.1663632351231956,0.06986899563318794,-1
600863.XSHG,-0.35403395785897623,0.06029543176455248,1.7113757937535834,2.476267270416848,0.37747994947422336,0.09973199940676984,-0.2515471140360802,0.11107261262089119,0.13085149474365337,1.5064962158970503,2.1873338366920274,-0.49562290705417733,-1.5829219862125552,0.43084543094208916,2.4041756947085466,-0.967841355305854,-0.09795073690958903,-1.2727921268628588,-0.21560802980419305,1.1457131484600678,2.9398841632819357,0.14478564010833134,1.3563055174222995,0.06818181818181812,-1
